SKU Code,Brand, Category,Title,Default List,Standard/Premium,Priority,Room,MRP Price,Purchase Price,5% Margin,Delivery Fee,Minimum Sales Price,Recommended Retail Price,Market Price 1,Market Price 2,BH Price,Discount,Margin,Margin %,Top Benefits,Product Image URL,URL
HAAC111128,LG ,Air Conditioner,"LG AC 2 Ton 3 Star Split AC with AI Convertible 6-in-1 Cooling, Gold Fin+, Viraat Mode, Diet Mode+, 2025 Model US-Q24ENXE",Premium List,Premium,1,Hall,"95,990","53,500","56,657",,"56,657",,"54,990",,"57,990","38,000","4,490",6.56%,,https://betterhomeapp.com/cdn/shop/files/LG_AC_2Ton_3_Star_SplitAC_with_AI_Convertible_6-in-1_Cooling_GoldFin_ViraatMode_DietMode_2025Model_US-Q24ENXE.png?v=1743749565,https://betterhomeapp.com/products/lg-ac-2-ton-3-star-split-ac-with-ai-convertible-6-in-1-cooling-gold-fin-viraat-mode-diet-mode-2025-model-us-q24enxe
HAAC111127,LG ,Air Conditioner,"LG AC 1.5 Ton 3 Star Split AC with AI Convertible, 100% Copper Tubes, Diet Mode+, Gold Fin+, Viraat Mode,2025 Model US-Q19WNXE",Premium List,"Standard, Premium",1,Bedroom,78990,"39,000","41,301",,"41,301",,"43,990",,"41,340","37,650","2,340",4.69%,,https://betterhomeapp.com/cdn/shop/files/LG_AC_1.5Ton_3Star_SplitAC_with_AIConvertible_100_CopperTubes_DietMode_GoldFin_ViraatMode_2025ModelUS-Q19WNXE-11.png?v=1742583799,https://betterhomeapp.com/products/lg-ac-1-5-ton-3-star-split-ac-with-ai-convertible-100-copper-tubes-diet-mode-gold-fin-viraat-mode-2025-model-us-q19wnxe
HAAC111129,LG ,Air Conditioner,"LG AC 1.0 Ton 3 Star Split AC with AI Convertible 6-in-1 Cooling, Gold Fin+, Viraat Mode, Dual Inverter Compressor, 2025 Model US-Q12BNXE",,Premium,2,Bedroom,79900,"45,990","48,703",,"48,703",,"50,300",,"48,800","31,100","2,810",4.77%,,https://betterhomeapp.com/cdn/shop/files/LG_AC_1.0_Ton_3_Star_Split_AC_with_AI_Convertible_6-in-1_Cooling_Gold_Fin_Viraat_Mode_Dual_Inverter_Compressor_2025_Model_US-Q12BNXE-Open_View.png?v=1743790424,https://betterhomeapp.com/products/lg-ac-1-0-ton-3-star-split-ac-with-ai-convertible-6-in-1-cooling-gold-fin-viraat-mode-dual-inverter-compressor-2025-model-us-q12bnxe
HAAC111130,LG ,Air Conditioner,"LG AC 1.0 Ton 3 Star Split AC with AI Convertible 6-in-1 Cooling, Gold Fin+, Viraat Mode, Dual Inverter Compressor, 2025 Model US-Q12BNXE",,Standard,2,Bedroom,67990,"35,490","37,584",,"37,584",,"37,690",,"37,490","30,500","2,000",4.40%,,https://betterhomeapp.com/cdn/shop/files/LG_AC_1.0_Ton_3_Star_Split_AC_with_AI_Convertible_6-in-1_Cooling_Gold_Fin_Viraat_Mode_Dual_Inverter_Compressor_2025_Model_US-Q12BNXE-Open_View.png?v=1743790424,https://betterhomeapp.com/products/lg-ac-1-0-ton-3-star-split-ac-with-ai-convertible-6-in-1-cooling-gold-fin-viraat-mode-dual-inverter-compressor-2025-model-us-q12bnxe
HAAC111131,LG ,Air Conditioner,"LG AC 1.0 Ton 5 Star Split AC with AI Convertible 6-in-1 Cooling, HD Filter, Diet Mode+, 100% Copper Tubes, 2025 Model US-Q14ENZE",,Premium,3,Bedroom,"75,990","39,990","42,349",,"42,349",,"41,999",,"42,390","33,600","2,400",4.69%,,https://betterhomeapp.com/cdn/shop/files/LG_AC_1.0_Ton_5_Star_Split_AC_with_AI_Convertible_6-in-1_Cooling_HD_Filter_Diet_Mode_100_Copper_Tubes_2025_Model_US-Q14ENZE.png?v=1743827724,https://betterhomeapp.com/products/lg-ac-1-0-ton-5-star-split-ac-with-ai-convertible-6-in-1-cooling-hd-filter-diet-mode-100-copper-tubes-2025-model-us-q14enze
ELST0109,AO Smith,Instant Water Heater ,AO Smith MiniBot Instant Water Heater - 3 Ltrs,,Standard,3,Bathroom,5600,"3,720","3,939",,"3,939",,"3,990",,"3,990","1,610",270,6.15%,,https://betterhomeapp.com/cdn/shop/files/AO_Smith_MiniBot_Instant_Water_Heater_-_3_Ltrs.png?v=1736597048,https://betterhomeapp.com/products/ao-smith-minibot-instant-water-heater-3-ltrs?_pos=3&_sid=882bf8909&_ss=r
ELST0111,AO Smith,Instant Water Heater ,AO Smith Faston 5L Instant Water Heater,,"Standard, Premium",3,Bathroom,5000,"4,200","4,448",,"4,448",,"5,100",,"4,800",200,600,12.11%,,https://betterhomeapp.com/cdn/shop/files/ao-smith-faston-5l-instant-water-heater_-_Easy_to_Fit.webp?v=1740210114,https://betterhomeapp.com/products/ao-smith-faston-5l-instant-water-heater
ELST0119,AO Smith,Storage Water Heater ,AO Smith Finesse Storage Water Heater 10 Litres,,"Standard, Premium",3,Bathroom,13100,"8,630","9,139",,"9,139",,"9,327",,"9,000","4,100",370,3.63%,,https://betterhomeapp.com/cdn/shop/files/AO_Smith_Finesse_StorageWater_Heater_Finesse_Front_View-1.png?v=1740217459,https://betterhomeapp.com/products/ao-smith-finesse-storage-water-heater-10-litres
HAST0110,AO Smith,Storage Water Heater ,AO Smith Xpress Storage Water Heater 10Ltr ,,Premium,2,Bathroom,13800,"9,670","10,241",,"10,241",,"10,490",,"10,490","3,310",820,7.19%,,https://betterhomeapp.com/cdn/shop/files/AO_-_Smith_-_Xpress_-_Storage_-_Water_-_Heater_-_10Ltrs-FullView.png?v=1736603229,https://betterhomeapp.com/products/ao-smith-xpress-storage-water-heater?_pos=6&_sid=ff80c8b48&_ss=r
ELST0120,AO Smith,Storage Water Heater ,AO Smith Finesse Storage Water Heater 15 Litres,,Premium,2,Bathroom,15200,"10,210","10,812",,"10,812",,"11,000",,"11,000","4,200",790,6.56%,,https://betterhomeapp.com/cdn/shop/files/AO_Smith_Finesse_StorageWater_Heater_Finesse_Front_View-1.png?v=1740217459,https://betterhomeapp.com/products/ao-smith-finesse-storage-water-heater-15-litres
