SKU Code,Brand, Category,Product,Standard/Premium,Priority,Room,MRP Price,Purchase Price,5% Margin,Delivery Fee,Minimum Sales Price,Recommended Retail Price,Market Price 1,Market Price 2,BH Price,Discount,Margin,Margin %,Top Benefits,Product Image URL
Need to add,AO Smith,Water Purifier ,AO Smith Proplanet P6 10L RO + SCMT Hot & Cold Water Purifier - Black,,,Ktichen,31100,24650,25882.5,,25882.5,,"25,430",,"25,400","5,700",-483,-1.96%,,
HAWP0001,AO Smith,Water Purifier ,AO Smith Z2 Pro Under the Counter RO Water Purifier,,,Ktichen,25900,19996,20995.8,,20995.8,,"21,348",,"21,500","4,400",504,2.52%,,
,AO Smith,Water Softener,CWS-40,,,"Whole Home, Bathroom",119000,"90,000","94,500",,"94,500","98,000",,,,,"-94,500",,,
,AO Smith,Water Softener,CWS-25,,,"Whole Home, Bathroom","95,000","70,000","73,500",,"73,500","75,000",,,,,"-73,500",,,
,Eureka Forbes,Water Softener,Aquaguard Select AWS 5000 (3000 Litres per Hour),,,Bathroom,,,0,,0,,,,"81,000",,"81,000",,,
,Eureka Forbes,Robotic Vacuum Cleaner,Eureka Forbes Vacuum Cleaner Smartclean with Home Mapping Pro,,,Whole Home,33100,26499,27823.95,,27823.95,,"33,100",,"28,500","4,600",676,,,
,Atomberg,Ceiling Fan,Atomberg Renesa Energy Efficient 1200mm Ceiling Fan with BLDC Motor and Remote ,,,,5660,3535,3711.75,,3711.75,,"3,599",,"3,783","1,877",71,2.02%,,
,Atomberg,Ceiling Fan,Atomberg Renesa+ 1200 mm BLDC Motor with Remote 3 Blade Ceiling Fan ,,,,6810,4135,4341.75,,4341.75,,"4,299",,"4,500","2,310",158,3.83%,,
,Atomberg,Ceiling Fan,Atomberg Aris Starlight IOT Enabled 1200 mm BLDC Motor with Remote 3 Blade Ceiling Fan,,,,"15,530",8991,9440.55,,9440.55,,"10,249",,"10,250","5,280",809,9.00%,,
,Atomberg,Ceiling Fan,Atomberg Renesa Elite 1200 mm BLDC Ceiling Fan with Remote Control & LED Indicators ,,,,5660,3775,3963.75,,3963.75,,"4,099",,"4,100","1,560",136,3.61%,,
,Atomberg,Ceiling Fan,Atomberg Renesa Elite Smart 1200 mm BLDC Ceiling Fan with Remote Control & LED Indicators,,,,,,0,,0,,"4,599",,"4,599","-4,599","4,599",#DIV/0!,,
ELCE1257-01,Atomberg,Ceiling Fan,Atomberg Renesa+ 600 mm BLDC Ceiling Fan with Remote Control - Earth Brown,Standard,1,,"6,500",3925,4121.25,100,4221.25,4200,"4,099",4099,"4,100","2,400",-121,-3.09%,,
,Atomberg,Ceiling Fan,Ikano,,,,,,0,,0,,,,,,0,,,
,Atomberg,Ceiling Fan,Renesa Prime ,,,,,,0,,0,,,,,0,0,#DIV/0!,,
,Atomberg,Wall Fan,Atomberg Renesa 400mm BLDC motor Energy Saving Wall Fan Remote Control ,,,,5660,3441,3613.05,,3613.05,,"3,599",,"3,759","1,901",146,4.24%,,
,Atomberg,Pedestal Fan ,Atomberg Renesa 400mm BLDC motor Energy Saving Pedestal Fan with Remote Control ,,,,6450,3887,4081.35,,4081.35,,"3,599",,"4,240","2,210",159,4.08%,,
,Atomberg,Exhaust Fan,Atomberg Efficio 150mm BLDC motor Energy Saving Exhaust Fan ,Standard,1,,3350,1212,1272.6,,1272.6,,"1,399",,"1,350","2,000",77,6.39%,,
,Atomberg,Exhaust Fan,Atomberg Studio 150mm BLDC motor Energy Saving Exhaust Fan ,,,,3180,1481,1555.05,,1555.05,,"2,246",,"1,630","1,550",75,5.06%,,
,Atomberg,Exhaust Fan,Atomberg Studio+ 150mm BLDC motor Energy Saving Exhaust Fan ,,,,3640,1775,1863.75,,1863.75,,"1,999",,"1,950","1,690",86,4.86%,,
,Atomberg,Mixer Grinder,Atomberg Zenova Mixer Grinder with Unique Coarse Model 4 Jars including Chopper Jar with Hands Free Operation ,,,,11999,6113,6418.65,,6418.65,,"6,999",,"7,050","4,949",631,10.33%,,
ELCE1346-24839363,Superfan,Ceiling Fan,Superfan Super X1 High Speed BLDC Ceiling Fan with 5 Years Warranty - 120 cm (48 inches)  - Brown,Standard,1,,6100,2950,3097.5,120,3217.5,,"3,700",,"3,500","2,600",283,9.58%,"1. Good air delivery of 230 CMM to give the right comfort for a good sleep. Highly recommended for those who prefer performance.
2. 5 Star rated; 65% Power saving which would be up to ₹1,500 per year.
3. 5 years warranty. Highest in the market.
4. Less maintenance because dust accumulated on brown colour are less visible.
5. Remote control for convenience.",https://betterhomeapp.com/cdn/shop/files/Superfan_SuperX1_Ceiling_Fan_Pot_Brown.png?v=1738994179
ELCE1346-24839365,Superfan,Ceiling Fan,Superfan Super X1 High Speed BLDC Ceiling Fan with 5 Years Warranty - 120 cm (48 inches) - White,Standard,2,,6100,2950,3097.5,120,3217.5,,"3,700",,"3,500","2,600",283,9.58%,"1. Good air delivery of 230 CMM to give the right comfort for a good sleep. Highly recommended for those who prefer performance.
2. 5 Star rated; 65% Power saving which would be up to ₹1,500 per year.
3. 5 years warranty. Highest in the market.
4. Remote control for convenience.
5. White colour is neutral and would suit all interior colours.",https://betterhomeapp.com/cdn/shop/files/Superfan_SuperX1_Ceiling_Fan_White.png?v=1738994179
Product Type: Ceiling Fan,Superfan,Ceiling Fan,"Superfan Super Q High Flow BLDC Ceiling Fan with 5 Years Warranty - 120 cm (48"" inches)",Premium,3,,9800,5867,6160.35,120,6280.35,,"5,900",,"6,000","3,800",-280,-4.78%,,
,Superfan,Ceiling Fan,"Superfan Super myQ Smart BLDC Fan with 5 Years Warranty - 120 cm (48"" inches) ",Premium,1,,13500,,0,120,120,,,,"7,400","6,100","7,280",#DIV/0!,,
ELCE1358-1,Superfan,Ceiling Fan,"Superfan Super Sevak High Speed BLDC Ceiling Fan With 5 Years Warranty - 120 cm (48"" inches)",Standard,3,,5800,,0,120,120,,,,"2,900","2,900","2,780",#DIV/0!,,
,Almonard ,Pedestal Fan,Almonard 24 inch Air Circulator Pedestal Fan Industrial Fan ,,,,14080,12556,13183.8,,13183.8,,"12,976",,"11,600","2,480","-1,584",-12.61%,,
,Almonard ,Wall Mounted Fan,Almonard Industrial 18 inch Wall Fan ,,,,10250,8833,9274.65,,9274.65,,,,,"10,250","-9,275",-105.00%,,
KICH0014,Bosch ,Chimney ,Bosch Chimney 90 CM - DWKA98H60I - Series 4 - Wall-Mounted Cooker Hood Flat Black,,,,59990,39357,41324.85,,41324.85,,"44,750",,"44,500","15,490","3,175",8.07%,,
,Bosch ,Chimney ,,,,,,,0,,0,,,,,0,0,#DIV/0!,,
HADW0013,Bosch ,Dishwasher ,Bosch Free-Standing Dishwasher 15 Place Settings - Series 6 - 60 Cm - SMS6HMC00I - Brushed steel anti-fingerprint,,,,82190,61642.5,64724.625,,64724.625,,"69,500",70683,"69,800","12,390","5,075",8.23%,,
HADW0013,Bosch ,Dishwasher ,Bosch Free-Standing Dishwasher 15 Place Settings - Series 6 - 60 Cm - SMS4HMB62T - Black ,,,,89490,74719,78454.95,,78454.95,,"77,490",,"78,210","11,280",-245,-0.33%,,
,Bosch ,Combi Steam Oven,Bosch 71L Series 8 Built-in oven with steam function 60 x 60 cm Black HSG7361B1,,,,"279,990",183699,192883.95,,192883.95,,"209,990",,"209,990","70,000","17,106",9.31%,,
,Bosch ,Oven,Bosch  71L Series 2 Built-in oven 60 x 60 cm Black HBF011BA1I,,,,74490,,0,,0,,,,,"74,490",0,#DIV/0!,,
HARE011204,Bosch ,Refrigerator,Bosch 559L  Double Door Bottom Mount Refrigerator Series 6 - KGN56LB42I,,,,108090,85017,89267.85,,89267.85,,"86,390",,"87,294","20,796","-1,974",-2.32%,,
,Bosch ,Refrigerator,,,,,,,0,,0,,,,,0,0,#DIV/0!,,
,Bosch ,Microwave Oven,Bosch 25L Series 6 Built-In Microwave Oven BEL554MB0I - Black,,,,69990,45918,48213.9,,48213.9,,"52,290",,"52,490","17,500","4,276",9.31%,,
,Bosch ,Microwave Oven,Bosch 25L Series 4 Built-In Microwave Oven BEL553MS0I Stainless steel,,,,64490,42244,44356.2,,44356.2,,"₹46,690",,"48,290","16,200","3,934",9.31%,,
,Bosch ,Microwave Oven,Bosch 25L Series 6 Built-In Microwave Oven BEL553MB0I - Black,,,,"69,490",45481,47755.05,,47755.05,,"51,890",,"51,990","17,500","4,235",9.31%,,
,Bosch ,Microwave Oven,Bosch 25L Series 4 Built-In Microwave Oven BEL550MS0I - Stainless Steel,,,,"55,990",36733,38569.65,,38569.65,,"40,690",,"41,990","14,000","3,420",9.31%,,
KICH00011,Bosch ,Hob,Bosch Built-in Gas Hob 75CM - Series 6 - 3 Burner - PND7B6F20I - Tempered Glass Black,,,,"53,990",,0,,0,,,,"48,591","5,399","48,591",#DIV/0!,,
HAHB0001,Bosch ,Hob,Bosch Built-in Gas Hob 75CM - Series 6 - 3 Burner -  PND7B6G20I - Tempered Glass Black,,,,"59,990",,0,,0,,,,"53,991","5,999","53,991",#DIV/0!,,
KICH00012,Bosch ,Hob,Bosch Built-in Gas Hob 60CM - Series 4 - 4 Burner -  PNH6B6F20I - Tempered Glass Black,,,,"44,490",,0,,0,,,,"40,041","4,449","40,041",#DIV/0!,,
